,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib
TCR,2.7084881672322997e-05,-0.004105653180350207,0.0003732768466425137,-0.009198597839839598,-0.00030679054458705035,0.013169232906768873,-0.0034466330020185864,3.6178660977752493e-06,0.004685342403490194,-0.0034957131757233383,-0.01926580025535158,4.091484069653713e-05,-2.2171073157330364e-05,2.6515442330762417e-05,0.11539109386802567,2.3086395809256467e-06,2.6134646887914852e-06,0.00567538624389877,0.00011339602178084168,0.0005371086850507705,4.639251733372844e-06,4.688293881267679e-06,0.0031170474881160822
BCR,1.9892263530344233e-05,-0.004105653180350207,7.13619636381279e-05,-0.002481428556179028,-0.0009018702976982202,0.013169232906768873,-0.0034466330020185864,3.730895695781186e-06,-0.01932004271899094,-0.0034957131757233383,-0.01926580025535158,1.1277598387886412e-05,-2.9164623141055626e-05,-6.609711249107343e-07,0.11539109386802567,1.8334378904339002e-06,1.952011309364189e-06,0.0031494361846284673,8.068723605678891e-05,0.0005371086850507705,-2.236210671554164e-06,-5.5962941177796056e-05,0.002349395975945741
Chemokine,-5.220296967283993e-06,-0.004105653180350207,-0.0002251738238421668,-0.03177835063582586,-0.00241510464510836,-0.00644853610826383,-0.0014009683276741051,1.8262606261703022e-06,-0.014004323505226951,-0.010330712949452932,-0.01926580025535158,-2.654651893008711e-05,-4.057908708068964e-05,-0.00013452814382509574,0.036511977968378684,1.2288335237862816e-06,1.3026572534442926e-06,0.0012564337358988414,5.2772837663636245e-05,0.0008169135245059471,-1.5189920826035661e-05,-5.412410812628639e-05,-0.005672676769041594
Neurotrophin,-1.5435330640648203e-05,-0.006903837954320359,-0.00012164462983151903,-0.025449737662142476,-0.00014561322442957004,-0.0004424310339061933,-0.006049595645305201,2.369670304494733e-06,0.004185999024778225,-0.004953151067532145,-0.0283985227420522,-2.7277639691980887e-05,-7.815182774017999e-05,-0.00024910938801468003,0.06807260268431542,1.4572883886686654e-06,1.5827693747812022e-06,0.0018697229546934498,6.304003614558055e-05,0.0009165839152153898,-2.394360321110983e-05,-0.0001012591194533504,-0.013926485661490302
Prolactin,0.00010225198935141683,0.017634528292957984,0.001263666408733544,0.08370644975535145,0.004720631241046094,0.026780896847443933,-0.0034466330020185864,6.678196729000782e-06,0.0376898938907657,0.01367042451958916,0.05481914034260312,0.0002582989430810288,8.757462162726535e-05,0.0006695419411452809,0.23370976771749616,3.4937133117437477e-06,3.7838641702785643e-06,0.01203461988385586,0.00020934876339889365,0.0012007458591810156,3.566916690889975e-05,0.0002453600624279388,0.018688229169415642
Phospholipase D,-2.9078238091914483e-06,-0.002825260412252726,-9.693192024445609e-05,-0.018692594272793413,-0.0033519459741148424,-0.0001399516626893587,-0.0022042332710136272,1.503526134741803e-06,-0.014004323505226951,-0.005201759991312488,-0.03667868825991573,-3.7600766426554082e-06,-3.9259708028796174e-05,-0.00012755982759328106,-0.0010345200259835514,1.1719151664804743e-06,1.2537935916645468e-06,0.0012704978147769254,3.1390277847338056e-05,0.0006208807276069781,-1.2077680683032835e-05,-6.739923593366331e-05,-0.007315464197789534
Ras,-1.1160190465787195e-05,-0.0034096241881127294,-5.545552735271355e-05,-0.0191036035791899,-0.002823811570190118,0.005582608581010749,-0.0028392519327083443,2.3232446835639597e-06,-0.014004323505226951,-0.005517219538940018,-0.05169344425768236,-7.180171307770836e-05,-5.6691028437213606e-05,-0.00020728035081547016,-0.0027934204776368984,1.4409046114782377e-06,1.457829433027678e-06,-9.352446077930944e-05,1.3025470151647257e-05,0.0005400321932030485,-2.153322174942089e-05,-0.00010617248759805561,-0.011023866970545084
Fc epsilon RI,0.00010990402007088228,0.017634528292957984,0.0013148019179242286,0.090067110765528,0.005832970798861209,0.03280593646236088,-0.00045771787724571705,7.572798553238953e-06,0.0856973119950451,0.015910429616126077,0.0815983727366321,0.00025741051555791474,0.00010933062423917872,0.0007801860925522332,0.23370976771749616,3.5407114576890352e-06,3.795941663451505e-06,0.014060701664980533,0.00020807961827457898,0.001335677467986621,4.087602825331393e-05,0.00030252227097231013,0.026194920993460814
GnRH,-1.5170345609089562e-06,-0.006368719331912128,2.2836139442950794e-05,-0.011791290875371677,-0.0028578697682383612,0.005582608581010749,-0.0016961586709889546,2.9439817876786858e-06,0.04823055836820342,-0.007362102269999912,-0.05400086853203443,-1.9040231841681087e-05,-5.9888351027105386e-05,-0.00013032119869685818,0.036511977968378684,1.2100845942778214e-06,1.2856696718308936e-06,0.0012729341177339863,9.888997357180584e-05,0.0019427684470224309,-1.2446196858814947e-05,-7.996490631234059e-05,0.007480837802813299
MAPK,-7.75256618115092e-06,-0.005612861536015595,-2.8329388476174094e-05,0.007142505432192926,-0.0001551886215518142,-0.0014629892076521442,-0.003659362780228587,4.044743405077856e-06,0.0278436272749148,-0.005181187263945115,-0.05219593592340807,-6.325496949341853e-05,-0.00010556599016350952,-0.0001818595293385256,0.07696376038299886,2.927058435189726e-06,2.9586572972596983e-06,0.0031127510126774103,0.00010329354261896138,0.0017280256918772304,-1.9101714877828438e-05,-0.00012020005427678147,0.005354770620200898
ErbB,-9.667185664206578e-06,-0.002825260412252726,-0.0002962738800628994,-0.0359048063697617,-0.001288160615599623,-0.02444001235611695,-0.0035410799784734185,2.1556694369800443e-06,-0.02384395981682985,-0.008742345681989814,-0.03891737742241062,-5.4599706993193275e-05,-7.132329909133074e-05,-0.0002100709951349015,-0.18662058320442565,8.943085726158884e-07,1.262856624955847e-06,0.0025026426544958336,4.305939726947328e-05,-0.0003288831466259218,-2.102924740884063e-05,-9.429125264895357e-05,-0.014085715444571212
FoxO,2.1283369095448886e-05,-0.002825260412252726,-4.2611305779213625e-05,0.0038792324539975035,-0.0003631627056342423,0.016220331611741096,-0.0034466330020185864,3.058013599548147e-06,0.04964009845823181,-0.004241910933087366,-0.030863568517246982,2.586122104048117e-06,-4.711002306621534e-05,-5.037081415350844e-06,0.11539109386802567,1.365849406468139e-06,1.430870778860568e-06,0.0012205150917789008,5.924723874073596e-05,0.0008081152384073721,-1.305175410875722e-06,-5.120309316656449e-05,0.004096907340690729
cAMP,-1.8954893255106182e-06,-0.006591310092317111,-7.290883039996949e-05,-0.007827085891830206,-0.0026655176183297065,0.01830565070987628,-0.004375368306996306,1.8222772018541723e-06,-0.014352373318940476,-0.005885759090033047,-0.031103923915570836,-4.267440769983488e-06,-2.331278470649767e-05,-0.00015714879374393608,0.0,9.735109363027712e-07,1.0801644299510646e-06,0.0011946586471014854,5.7299253877893305e-05,0.0006281024469609275,-6.503264798161671e-06,-5.084484632447704e-05,0.009119364859238435
Jak-STAT,4.755894667729811e-05,-0.0008913148468992761,0.0002668631814306564,0.0038792324539975035,0.0009744836278766892,0.007430221886029255,-0.0018889707470883753,2.2019983078355185e-06,-0.0098396363116029,0.00045138488275156595,-0.00785960549154849,6.387040889430726e-05,9.26898402226356e-06,0.00021376248117690826,0.03486002522609183,1.965337735718152e-06,2.0800688419866944e-06,0.0003214073552381515,7.748746127988599e-05,0.0002915471679697994,8.48506615227977e-06,5.0435844265844444e-05,-0.004940427839518941
Notch,5.718674496012642e-05,-0.0007552430743122479,0.00030203607931764,0.009143569248878795,0.0009744836278766892,-0.03160530492201866,-0.0019581593297802657,2.8111747580145283e-06,-0.017484317596642773,0.0057220458984375,0.00401877572016461,8.556790705207747e-05,1.2297231936886837e-05,0.00026400173721273756,0.078879115899647,1.5070666529946152e-06,1.6865272640249283e-06,0.005427021066933363,8.326848159974133e-05,0.00033181858706512275,1.1183734195742354e-05,7.623491000906661e-05,0.003584964988490552
Glucagon,4.8283186187412965e-06,0.0,-6.695108280830962e-05,0.005998703889392277,-0.0005174778039122634,0.0,0.002045664674344481,3.0747107894312076e-06,0.016208893149578064,0.0,0.0,-2.2431445534816366e-05,-4.3897354639813504e-06,5.986939983514993e-06,0.0,5.524348676135002e-07,6.671228696192415e-07,0.0019557353116007345,3.647899725524531e-05,0.000562760712491567,8.731619352897737e-07,5.031026732244353e-06,0.0026887237413679137
Wnt,3.3577440563022906e-05,0.0,0.0001995319177851745,0.00255299485797471,0.0018175524555198565,0.0015410569184226282,0.002045664674344481,3.327466729920657e-06,-0.0696355607732855,-0.0026109398836905336,-0.002044317112298628,2.1196681917194886e-05,1.3911481669360484e-05,3.522328592563164e-05,0.03880748226901574,2.1548176866525166e-06,2.2745867150330034e-06,0.0001631583887761644,5.268760841706745e-05,0.0006789676132564335,8.454859003999573e-06,5.674503531367803e-05,0.00470880501797506
TGF-beta,0.00011082809633046875,0.019806235907954738,0.0012170277655067295,0.09198480179587398,0.006854175952832675,0.008944229787460435,0.0014312528698426582,6.647466338629986e-06,0.010404805156163117,0.014609849021985663,0.09325991990925746,0.0002444393245480185,0.00013066500171565683,0.0008358097091483204,0.014524663587615713,3.2058555445532245e-06,3.5877002204038292e-06,0.010633787707604878,0.00020061009008509977,0.0008447788120148941,4.573993777247292e-05,0.0003258265133033651,0.03214941895068798
Thyroid,-6.065446903540947e-06,-0.0073710601187831635,-0.0004068570576807758,-0.014793777233775637,0.00034703533063492687,-0.07982605562301853,-0.0014191974644213086,3.827888830296219e-06,-0.03299738063294811,-0.018893865696627713,-0.05686306828617972,-1.428689264075443e-05,-8.666160934437719e-05,-0.0002666624719765058,-0.1582253583418487,1.3780492626964141e-06,1.8978202597788557e-06,0.005024532657057262,6.752509730816977e-05,0.0011073312115050236,-1.905802868731903e-05,-0.0001121183185324638,0.013199625867957823
