,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
INCENP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3965050479984243,1.0
FKBP15,1.0,1.0,0.425508815291351,0.44273764187753,1.0,1.0,0.523811302198709,1.0,1.0,1.0,1.0
EPHB2,1.0,1.0,0.415173560571035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RICTOR,0.3558966054150643,0.3282457780066324,1.0,0.4930852999339644,0.538022073652478,1.0,0.312242966725912,1.0,0.3304466645665895,0.3904453255793306,1.0
PIK3C2A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.164987421200437,1.0
C14orf43,1.0,1.0,0.239666530566586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DAB2IP,1.0,1.0,0.4431309156345293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPP1R12A,1.0,1.0,0.2476408102712499,0.2994074518986203,0.5003617660795385,1.0,1.0,0.334175749589441,0.2994074518986203,0.2850383061732724,1.0
RPRD2,1.0,1.0,1.0,0.484758584,1.0,1.0,1.0,1.0,1.0,0.590254881139539,1.0
CDC5L,1.0,1.0,0.4212697594065187,1.0,1.0,1.0,1.0,1.0,1.0,0.472117033333087,1.0
ILK,1.0,1.0,0.576550184691951,1.0,1.0,1.0,1.0,1.0,1.0,0.4246647284379987,1.0
LDB1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.570046944293126,1.0
CAST,1.0,1.0,0.434122233069337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PDLIM1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.433908386668807,1.0
LRRFIP1,1.0,1.0,0.3707875743018533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HN1,1.0,1.0,1.0,0.482598444,1.0,1.0,1.0,1.0,1.0,0.206116361081353,1.0
ACIN1,0.504454588689955,1.0,0.3030455285872629,0.580082113203403,0.4194276359968375,1.0,0.4731523521628123,1.0,0.468415167834455,0.3208659234705183,1.0
PUM1,1.0,1.0,1.0,1.0,0.589183549724821,1.0,1.0,1.0,1.0,0.4257754293862475,1.0
ERCC6L,1.0,1.0,1.0,0.164021879,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MTA2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.432239132197021,1.0
LSMD1,1.0,0.137488597917295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PHF3,1.0,1.0,0.2832358210891362,1.0,1.0,1.0,1.0,1.0,1.0,0.395255903931515,1.0
DOCK10,1.0,1.0,0.4727676523578235,1.0,1.0,1.0,1.0,1.0,1.0,0.286750109892871,1.0
DOCK1,1.0,1.0,0.472351470393884,1.0,1.0,1.0,1.0,1.0,1.0,0.226621549889014,1.0
MFAP1,1.0,1.0,0.46646682443077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BARD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5088596730225087,1.0
CRK,1.0,1.0,0.379283413448985,1.0,0.524348193374411,1.0,1.0,1.0,1.0,1.0,1.0
TAOK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4340590081733286,1.0
IGSF9,1.0,1.0,0.472668915219233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WDR62,1.0,1.0,0.597545994003752,0.432642093971071,1.0,1.0,1.0,0.355541247732534,0.432642093971071,0.369267911092337,1.0
CDK9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.145590067937998,1.0
SPECC1L,1.0,1.0,0.397213477971397,1.0,0.567009209361182,1.0,1.0,1.0,1.0,0.491800911834287,1.0
LLGL2,1.0,1.0,0.3536945280351933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COIL,1.0,1.0,0.4317396338526275,1.0,1.0,1.0,1.0,1.0,1.0,0.2540123572253975,1.0
EPS15L1,1.0,1.0,0.488982712899688,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHD3,0.421370495752137,1.0,1.0,0.48688874765707,1.0,1.0,0.536261678075958,1.0,1.0,1.0,1.0
AKAP8,1.0,1.0,1.0,0.40144796,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CLINT1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.327775870938327
