,Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib,ID
1010,TRA2B,1.107605854808705,0.0,0.0,0.0,0.0,0.0,0.0,1.8388324960056768,0.0,-2.472202093539048,0.0,0.0,0.0,0.0,0.0,1.5077835420606154,0.4634895519143919,0.0,0.0,0.0,1.1574683127272585,0.0,0.0,6434
1011,TRAFD1,-1.2710956265104982,0.0,0.0,0.0,0.0,0.0,0.0,1.838245925893493,0.0,0.0,0.0,0.0,-1.7498462558151462,0.0,0.0,-1.7647806567490325,-1.6800350805933706,0.0,0.0,0.0,-1.059447084499156,-2.0528161146309274,0.0,10906
1012,TREX1,0.2754209867310862,0.0,0.0,0.0,0.0,0.0,0.0,-1.546559825589915,0.0,0.0,0.0,0.0,0.0,-1.8868248111097767,0.0,2.133458335012889,2.144572586311833,0.0,0.0,0.0,0.0,0.0,0.0,11277
1013,TRIM24,-1.6071766915493673,0.0,0.7493390316510674,-1.469661135231931,-1.0158995055021651,0.0,-1.4328043550604188,2.268140150852167,0.0,0.0,0.0,-2.0826707680952232,-1.5309113260749794,0.0,0.949922071742249,1.254844396800483,0.2883654948381455,1.0079807511342036,-1.8501882856163956,1.3837322927459434,-1.3016331625347866,-1.3099104266166888,-1.0370330701181627,8805
1014,TRIM28,-2.130407585846387,0.0,0.0,0.0,0.0,0.0,0.0,1.3600556256572591,0.0,0.0,0.0,-1.131293745202233,0.0,0.0,0.0,2.1508198371410785,2.268501128767843,1.7007127486048508,3.4364258094294264,0.0,0.9528935035712152,0.0,0.0,10155
1015,TRIM33,-1.284228065580022,0.0,0.0,-1.3590266785093976,0.0,0.0,-1.1042909277284003,0.0,0.0,0.0,0.0,-1.5544943270741436,0.0,0.0,0.0,0.7139575062283655,0.8693181076535108,0.0,0.0,0.0,0.0,0.0,1.0284373942829013,51592
1016,TRIM47,-1.7050914075916783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8808875139068304,1.7051828651483272,1.0358552248723916,1.5498597954360374,0.0,0.0,0.0,0.0,91107
1017,TRIM56,1.2864534938169474,0.0,-1.3400975643086634,0.0,0.0,0.0,0.0,1.3120994187390105,0.0,0.0,0.0,1.8251488684515689,0.6473620295724599,0.0,0.0,0.887393992688059,0.7066232175597388,0.0,0.0,0.0,1.2210180694821062,1.158980566579382,0.0,81844
1018,TRIO,-0.1380528633679138,0.0,-1.3809117828196045,0.0,-1.2901456885983362,0.0,0.0,0.0,0.0,-1.3187281916106288,-1.409739928777054,-1.0711376388287508,0.0,-1.5821776091080295,0.0,1.267543674908978,1.3748922901051597,0.0,0.9562767460809918,0.0,0.0,-1.6672296827809294,1.1329110638907551,7204
1019,TRIP12,1.1099936926833596,0.0,0.0,-1.0376040741676258,0.0,-1.4714081583358205,0.0,1.4754426167322077,0.0,0.0,0.0,0.0456617007594989,0.0,0.0,-1.6177467622920412,-2.848031692503621,-1.7050344050467752,0.0,-1.414843040940457,0.0383994130347368,0.0,-1.8357971746274515,0.0,9320
1020,TRPS1,1.3233995389503743,0.0,0.0,0.0,1.0389059447248723,0.0,0.0,0.0,-1.5041556192663934,0.0,0.0,0.0,0.0,0.0,0.0,-1.3554884882984877,0.0733492576290087,-1.034594103581303,0.0,0.0,0.0,0.0,0.0,7227
1021,TSC2,0.1901516204615794,0.0,-1.6209824236160613,-0.8808006283347971,-1.4395279747420322,-0.0005990473165977,0.0,-0.2138653025350154,0.0,0.0,0.0,0.297613607451371,0.0,-1.2996303982573447,0.0738582572514203,1.5698347361958114,1.0434234319969422,0.0,-1.7686425128720598,-2.1598168110417038,-1.5025948121735777,0.0,0.0,7249
1022,TSC22D4,-1.8943050793740623,0.0,-1.2443907777320065,0.0,1.3259095172572084,0.0,0.0,-0.0252844009435027,0.0,-1.2443907777320065,0.0,1.2268215159129217,-1.3161743258083882,-1.751503677954547,0.0,-0.0901706955935784,0.2448260988225285,0.0,0.0,0.0,-0.9933191322012834,-1.451109974337771,0.0,81628
1023,TTK,-1.2310132077035596,0.0,0.0,0.0,0.0,0.0,0.0,-0.1992521925307206,0.0,0.0,1.0876604242558807,0.0,0.0,-1.418563007542769,0.0,1.7884481949684552,1.8349575648543024,0.0,0.0,0.0,1.0158043609399616,0.0,0.0,7272
1024,TTLL13,-1.2459849067858066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440307
1025,TXNRD3,1.159755310309074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114112
1026,U2AF2,1.0948497541509203,0.0,0.0,0.0,0.0,0.0,0.0,1.4087454659232077,0.0,0.0,0.0,0.0,1.0748119381187606,0.0,0.0,0.532395545232816,0.3998615912550838,0.0,0.0,0.0,0.0,0.0,0.0,11338
1027,U2SURP,0.295814627995333,0.0,0.0,0.0,0.0,0.0,0.0,3.990166337005105,0.0,0.0,0.0,-1.689352458287944,1.4127323952243422,0.0,0.0,1.5597791868825952,1.6752551139324354,0.0,0.0,0.0,0.2909807138303386,0.0,0.0,23350
1028,UBA1,-1.895237714746097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9180235817459884,1.2017857397933167,0.0,0.0,1.1144411002115724,-0.0785450762009647,0.0,0.0,0.0,0.0,0.0,0.0,7317
1029,UBAP1,0.420985389601939,0.0,0.0,0.0,-1.425671047102482,0.0,0.0,1.9259609666142237,0.0,0.0,0.0,-1.439214171477313,-1.8396146817455847,1.1607869082742803,0.0,0.0,0.0,0.0,0.0,0.9862119987021196,-1.071779550363889,-1.6320718829999297,0.0,51271
1030,UBAP2L,0.5959683339599882,0.0,0.7476759648005765,-0.7906146080099115,2.5321835037443683,0.0,0.0,0.093171301828497,0.0,0.0,0.0,-1.1037108685072996,1.068951748710811,0.0,0.9022527718135626,0.4700894243884157,0.704323606588578,0.0,0.7328993348396228,0.789480170678204,0.3249182609278089,-1.5244613551738486,1.086943892576729,9898
1031,UBE4B,-1.7798977263694389,0.0,0.0,0.0,0.0,0.0,0.0,1.6210579295205363,0.0,0.0,0.0,0.0,0.0,-1.6657807971009628,0.0,1.3199026035834975,1.2487841347796864,0.0,1.262091453124916,0.0,0.0,0.0,0.0,10277
1032,UBR4,-1.6607796876657497,-0.4370449927730374,-0.9603210832506694,0.0,0.0,0.0,-1.13653679349536,1.1019422154531282,0.0,0.0,0.0,-1.3840528255757811,-1.4708954628894786,0.0,0.0,2.202641652360169,2.0613822205185213,1.1449573077384605,1.1837157197697972,-0.7550113663307293,0.0,-1.232166302114541,0.0,23352
1033,UBR5,-1.5566717272561916,0.0,0.0,0.0,0.0,0.0,0.0,2.137290053059376,0.0,0.0,0.0,-1.1458763013782811,-1.6278490407881394,0.0,0.0,1.5843861898065688,1.3523988159732427,0.0,0.0,0.0,-1.2781153173491553,-1.2098594418905515,0.0,51366
