Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib
RBMX2,1.0351605330342626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1295630560817556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCOR1,-1.0229419279069354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3787711484947676,-2.1777292103974264,0.0,0.0,0.0,0.0,0.0,0.0
REPS1,0.6085991595212796,-0.4487940590504314,0.0,-1.011277755456673,1.6286966495697381,0.0,-1.0025227375160306,0.94951303681765,0.0,0.0,-1.0434405213229707,-1.8927453765819708,-1.7133434762663644,-1.4423608366909177,0.0,1.041538183830687,0.948337151592585,0.0,0.0,0.0,0.14848907258999577,0.3797751255030887,1.3539683409086178
RFC1,1.7383876715540394,0.0,0.0,0.0,0.0,0.0,0.0,1.2074666441343502,0.0,0.0,0.0,0.09878530090173727,0.0,0.0,0.0,0.0,0.0,2.0785882023057023,1.2434940613291465,0.0,0.0,0.0,0.0
RFX1,-2.202968256658776,0.0,0.0,0.0,0.0,0.0,0.0,-1.164327388795168,0.0,0.0,0.0,0.0,0.0,-2.202968256658776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGL2,-1.5362175454627702,0.0,0.0,0.0,0.0,0.0,0.0,-1.5399135925957113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGL3,1.8561309607105814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1370409449587267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5492322146174655,0.0
RGS12,-1.5402380923785277,0.0,0.0,0.0,0.0,0.0,-0.9944934827940869,0.0,0.0,0.0,0.0,-0.7797891268247974,-1.907139270050971,-1.5326031781604397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.381994527738573,0.0
RGS3,-1.2283936482158644,0.0,0.0,0.0,1.0266305194386314,0.0,0.0,0.3268863535622443,0.0,0.0,0.0,0.0,-1.3733218551609472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RICTOR,-1.1819242239604482,0.0,-1.3081710366980839,-0.8942627308495424,-1.1902331054076198,-1.67925901939977,0.0,1.836512634378031,0.0,-1.5975106612019327,0.0,-1.3568075542999318,0.0,-1.1320716680303402,-1.4904699225741072,0.5702267831356478,0.8124668688430211,0.0,-1.8178512623706322,-1.6071516400161654,1.2315323091107353,-1.1386602060101507,0.0
RIN1,-1.2703094845598057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.344396255740799,-1.301715620617916,0.0,0.0,0.0,0.0,-1.8241054521535176,0.0,0.0,-1.2344096166345098,0.0
RIOK1,-2.422373802357478,0.0,-1.2348629704876697,0.0,0.0,0.0,0.0,0.0,0.0,-1.2348629704876697,0.0,0.0,1.1002992691907003,0.0,0.0,0.8442165585574998,0.4601248012107489,0.0,-1.1117673987964656,0.0,0.0,0.0,0.0
RIOK2,1.410202495886448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4297276737250078,-1.5999088545002216,0.0,0.0,0.0,0.0,0.0,0.0
RNASE4,-2.3202329201875638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNASEH1,-1.0964108639997554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0964108639997554,0.0,-1.3537666749913047,-1.257887847147209,0.0,0.0,0.0,0.0,0.0,0.0
RNF214,-1.2933044266868743,0.0,0.0,0.0,0.0,0.0,0.0,-1.3703752570069003,0.0,0.0,0.0,0.8199239546954229,0.0,0.0,0.0,0.49218486990804367,0.9240388273661653,0.0,0.0,0.0,0.0,0.0,0.0
RNF219,-1.976975481333527,0.0,0.0,0.0,0.0,0.0,0.0,1.1595948732946106,-1.1443558065535533,0.0,0.0,0.0,0.0,0.0,0.0,-1.9459047643528218,-1.5653539042523221,0.0,-1.6429431986611045,0.0,-1.5435507500359962,-1.3269596789734484,0.0
RPL14,-1.3741779243753929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1305756487960184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL29,-1.0768474388058145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0825958593657548,1.2394835256745778,0.0,0.0,0.0,0.2708723834226952,0.0,0.0
RPL31,-1.3147868186866978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1759290949808672,1.4383699417637683,0.0,0.0,0.0,0.0,0.0,0.0
RPL34,-1.358009021596585,0.0,0.0,0.0,0.0,0.0,0.0,3.4797664257288874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5513661815252804,1.7755980587766511,0.0,0.0,0.0,-1.8405308883462208,0.0,0.0
RPLP2,-2.1229924760238004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.214929815140487,5.716346766322038,0.0,0.0,0.0,0.0,0.0,0.0
RPS27,-1.6858846998553316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175499187155326,1.315076134215348,0.0,0.0,0.0,0.0,0.0,0.0
RPS6,-2.622619664222525,1.0955357061301847,0.6719762591088136,-1.4851261406112075,-2.4174994222032544,-1.7321239762187002,0.0,0.9056876663131362,0.0,0.0,0.0,-1.944091494740509,0.5156312279217593,-1.9667787361575175,0.47428185276765283,-1.6001307095280315,-1.7065305995035807,0.0,-1.5051148224944628,0.2823454551673066,0.40531938752555874,1.7688777714727912,0.0
RPS6KA1,-1.1429685437956087,-1.31747223719834,0.0,0.0,0.0,0.0,-1.2239328128055484,2.2674899994896,0.0,0.0,-1.4413097962517205,0.0,-2.810145791791754,-1.1568376961862468,0.0,2.335255170909427,2.4507338052332983,0.0,2.0923650063692607,0.9297251074418575,-1.3047173788364905,-1.4969103376975494,1.3679880927652026
"RPS6KA1, RPS6KA3",-1.7294657501852198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4966076552699508,-1.835154154894887,0.0,3.8979513612702545,3.9539008919064895,0.0,2.934453663064235,0.0,-1.4703291298666952,-3.5171469908104807,0.0
