,Gene Name,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
43,PRDM2,-4.7091741371475,0.0,6.782511028409824,0.0,0.0,0.0,0.0,0.0,0.0,-4.5157189975000005,0.0,0.0,0.0,0.0,0.0,8.742060875744222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.439282268573495,6.701425429630628,0.0
44,PRRC2C,-4.506153069917884,0.0,5.55016793606118,0.0,0.0,5.627911965145162,0.0,7.195698828165295,0.0,-2.4080644409999996,0.0,0.0,0.0,0.0,0.0,8.009020415097655,5.332602351705891,0.0,8.837467606430682,7.617997471892176,4.106573878999999,4.685650984,0.0,0.0,9.247915906006833,0.0,0.0
45,"RANBP2, RGPD3, RGPD4, RGPD5, RGPD8",-4.743030494999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5680980980000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.175398628131804,7.228069763208742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,RCAN1,-4.92116369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,SERBP1,-4.729038071,0.0,7.534266108204918,0.0,9.367453550128724,5.556405577622487,0.0,7.2056681964787135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.603521250751639,8.993939748586143,0.0,8.312147920666883,8.013502762030114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,SERPINB13,-3.295123336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,SFSWAP,-4.529190242,0.0,6.744644391497978,0.0,0.0,0.0,0.0,0.0,0.0,-1.3164260789999995,0.0,0.0,0.0,0.0,5.465634661,0.0,0.0,0.0,8.223643892507035,7.950900425109715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,SQSTM1,-4.743179182,0.0,4.739251293912339,0.0,0.0,0.0,0.0,0.0,0.0,-1.7522643420000004,9.094864156999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.473337336321428,7.426880533503007,0.0,5.150719617999999,0.0,0.0,0.0,0.0,0.0
51,SUPT16H,-4.722188461999999,0.0,7.184790326332771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.940092354173618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52840342414008,6.431079923473771,0.0
52,TBC1D15,-5.057819817999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6784875840000004,0.0,0.0,0.0,0.0,0.0,8.410814862134488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.710486660615909,0.0
53,TECPR2,-4.783475446999999,0.0,6.732758796181924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,TFDP1,-5.111441252816906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.219171338000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.202391768981338,7.856161194065628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,THOC2,-4.740158797,0.0,0.0,0.0,0.0,0.0,-5.385085501999999,0.0,0.0,-2.3880254628333337,0.0,0.0,0.0,7.119120702351308,0.0,0.0,0.0,0.0,8.341183948952182,7.728506830450415,0.0,0.0,0.0,6.469899130218501,0.0,0.0,0.0
56,TJP2,-4.747234514,0.0,7.0671251267678254,0.0,0.0,0.0,-4.6416249574999995,0.0,0.0,-2.1469197605,0.0,0.0,0.0,0.0,0.0,8.108225607951136,0.0,0.0,7.760594972678194,8.28695716918374,0.0,0.0,0.0,0.0,7.759381188247929,6.500265674264441,7.122826644742088
57,TNS3,-4.735744950999999,0.0,6.532333761575688,0.0,7.609558268250183,5.007361927530891,0.0,0.0,0.0,-2.873753652,0.0,7.910588263914164,0.0,7.563599049817603,0.0,8.355669205067452,6.600761993744506,0.0,8.282420656875766,8.403151317849222,0.0,5.943969887999999,0.0,0.0,7.90942076961948,6.79457069607932,0.0
58,TOP2A,-4.741428126047933,0.0,5.771590274468755,0.0,8.440342457999998,0.0,0.0,0.0,0.0,-1.830058662,0.0,0.0,0.0,0.0,0.0,6.362884601617631,0.0,0.0,8.069014896237752,7.5338432700325075,4.054685741999999,0.0,0.0,0.0,5.5565188884919925,0.0,0.0
59,TPD52L1,-4.723728077,0.0,6.049085857672399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.734106971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,TSSC1,-4.739193691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19852868920016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,UBR4,-4.77543054,0.0,6.877842170340175,8.699180802845449,6.794003360656517,0.0,0.0,0.0,8.188575613078736,0.0,0.0,0.0,0.0,7.661341445763662,0.0,8.038212314658633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.660522105668504,0.0,6.795557718637018,0.0
62,UHRF1BP1L,-4.704961908999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5886338455220095,0.0,0.0,8.065110140922696,7.549056738524354,0.0,0.0,0.0,0.0,5.666276682813124,0.0,0.0
63,UVRAG,-5.0040417040000005,0.0,5.611848467563288,0.0,7.682260758999998,0.0,0.0,6.723632572051106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.986030223825803,8.288655054407696,8.281204410007772,0.0,0.0,0.0,8.213247387526863,0.0,0.0,0.0
64,WDR24,-4.630123306505096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,ZCCHC8,-4.465605922556476,0.0,5.892533320107879,0.0,0.0,0.0,-4.740008418,0.0,0.0,-2.2594044925,0.0,0.0,0.0,7.142448881327211,0.0,0.0,0.0,0.0,0.0,0.0,4.034276923,0.0,0.0,0.0,0.0,0.0,0.0
66,ZFP91,-6.383851792863647,0.0,6.763766851107779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.127774447262812,8.034984818184803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,ARHGAP35,0.0,5.304008357072896,6.7386100303000855,9.448224582513909,0.0,5.257373466167754,0.0,0.0,8.476182723528185,0.0,0.0,0.0,0.0,7.386691668241364,0.0,8.65039293024192,6.830944603806445,0.0,8.51278386529356,8.257646236827743,0.0,4.776231597999999,0.0,0.0,5.793488980087456,7.962267473939546,0.0
68,CDK13,0.0,7.558445129254522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.70215689825,0.0,0.0,0.0,5.415297356623431,0.0,8.902269744962407,5.369849630563478,8.880792338947254,8.260131013395226,7.9629545898480005,0.0,0.0,0.0,0.0,8.826018566148523,9.591419215914874,0.0
69,CLINT1,0.0,7.73326391798401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2823949579999994,0.0,0.0,0.0,0.0,0.0,0.0,5.2917578745725695,0.0,8.626502579815227,7.6986470384895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,DNTTIP2,0.0,6.898192753092127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6424323059999996,0.0,0.0,0.0,7.201231373385815,0.0,0.0,0.0,0.0,8.315242103269265,8.1905091885073,4.254260261,4.257285601999999,0.0,0.0,0.0,0.0,0.0
71,HDGFRP3,0.0,4.730340994387344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,ILF3,0.0,10.345248740339311,0.0,0.0,7.163702660227353,0.0,0.0,0.0,0.0,-2.974581374,0.0,0.0,0.0,0.0,0.0,0.0,5.261836203881384,0.0,8.433677776438847,7.642958325915124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,LAMTOR1,0.0,7.564789189227733,0.0,0.0,0.0,0.0,0.0,6.950399231066351,0.0,-2.60608033825,7.831760453,0.0,0.0,5.310533491143311,0.0,0.0,0.0,8.229241525632675,0.0,0.0,0.0,0.0,0.0,8.548621360665026,0.0,0.0,0.0
74,MAP1B,0.0,8.380683680055041,5.987344410047475,0.0,8.596722000999998,0.0,0.0,0.0,0.0,-2.6095507384999994,0.0,7.439190911557715,0.0,7.680780333616017,0.0,0.0,5.304495082210514,0.0,0.0,0.0,4.410382482999999,5.366081694,0.0,0.0,4.380265048320911,0.0,0.0
75,PTDSS1,0.0,6.893822177673787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2361549455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.621267942017838,9.780306635595649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,SLTM,0.0,8.300961405514883,6.852673348670147,0.0,0.0,0.0,0.0,0.0,0.0,-0.5087039050000003,0.0,0.0,0.0,5.765669042301562,0.0,0.0,0.0,0.0,8.45301337579921,8.08635476656423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,USP36,0.0,8.000534743380072,0.0,0.0,0.0,4.786232029747064,0.0,0.0,8.59280145381687,-2.10412887375,8.773657315,8.069586221986771,0.0,0.0,0.0,0.0,0.0,0.0,8.627153747937282,8.367166746301532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,", RRN3",0.0,0.0,5.978957101513134,0.0,6.908820819350412,0.0,0.0,6.551594206184431,0.0,0.0,0.0,7.361876930709158,0.0,0.0,0.0,0.0,6.760876556706831,8.159445869673947,0.0,0.0,0.0,4.003258291,0.0,8.543713014663169,0.0,0.0,0.0
79,ABI1,0.0,0.0,6.392428870991214,0.0,0.0,0.0,0.0,0.0,10.932608793454188,-2.127460244,0.0,7.5005744243221395,0.0,7.697842395099063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.679173003878132,5.8185556309165785,6.805739842849978
80,ABLIM1,0.0,0.0,6.004206765440245,9.582044990283983,0.0,5.37441723260894,0.0,0.0,8.650452347564295,-1.8197905849999998,0.0,0.0,0.0,7.932057674675186,0.0,0.0,4.852066694986788,0.0,8.717318040241453,8.029770390662943,0.0,0.0,0.0,0.0,4.957325967480266,5.82305913671601,0.0
81,ABLIM3,0.0,0.0,4.688745542030542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.676054549,0.0,0.0,0.0,0.0,0.0
82,ACIN1,0.0,0.0,6.817894564944221,0.0,5.897639166767186,5.274773645477963,0.0,7.504585165938109,0.0,-1.6800590604999999,0.0,5.121113837334762,0.0,7.89042262583389,0.0,8.712725649037312,10.269245273349016,8.598486723509696,8.702818757148728,8.028102000598649,0.0,5.182412875,0.0,0.0,5.502354017399982,7.175394651671404,0.0
83,ACLY,0.0,0.0,7.076544077663845,0.0,8.760142662564473,0.0,-4.455820065999999,7.203881528564052,0.0,0.0,0.0,0.0,0.0,7.791211807196535,0.0,0.0,0.0,8.414139147686008,0.0,0.0,0.0,0.0,0.0,8.123782127957938,0.0,4.458842501529751,0.0
84,ADAR,0.0,0.0,6.398226744518198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.643294920411523,0.0,0.0,8.300374415909292,5.325694557032144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.246677722980028,6.687141959029201,0.0
85,ADCY6,0.0,0.0,5.715698613147714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,ADNP,0.0,0.0,5.045114834131169,0.0,0.0,0.0,0.0,0.0,0.0,-2.1079444725000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.541195336090261,8.54216271845612,0.0,0.0,0.0,0.0,0.0,6.870493020537332,0.0
87,AFAP1,0.0,0.0,4.914507765459371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.083120924484858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.253429406,0.0,5.001038476422437,0.0,0.0,0.0
88,AHCTF1,0.0,0.0,6.708638815065946,0.0,0.0,0.0,0.0,0.0,0.0,-2.832412774,0.0,0.0,0.0,7.90115119305218,0.0,8.788790149797899,0.0,0.0,0.0,0.0,4.221283710999999,4.259838887,0.0,0.0,0.0,6.405931156058702,0.0
89,AHNAK,0.0,0.0,7.149572156384806,9.629172522036384,8.730964290969895,6.217491822963306,0.0,0.0,9.097227446575731,0.0,8.577874137999999,8.772887814927005,6.538999703822453,8.46712101391814,0.0,10.180001970515448,6.5838729913011305,0.0,9.186508349592662,8.58460689689943,4.268958815999999,4.01788649,0.0,6.77454886474542,8.202147860022214,7.37572559346147,0.0
90,AKAP12,0.0,0.0,6.723494127495986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.647613522994027,8.191654502748891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0230770638277535,0.0,0.0
91,AKAP2,0.0,0.0,6.602864976239237,8.605791290650963,0.0,0.0,0.0,0.0,8.068491929520341,-1.6926675674999994,0.0,7.518254158324797,0.0,0.0,0.0,8.90935391230004,0.0,0.0,8.610216246786173,7.851391385820179,0.0,3.923054568999999,0.0,0.0,7.25422111868741,0.0,0.0
92,AKAP8L,0.0,0.0,6.783052289079215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.466347603987032,7.515681877542366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
