,Gene Name,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib,ID,All Pathways
4175,"TAF9, TAF9B",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8293213622201383,1.9188052556276805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6880,hsa03022
4177,TALDO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6022667163683793,1.5909366598437542,0.0,0.0,0.0,0.0,0.0,-1.9505659318975173,0.0,6888,hsa00030 hsa01100 hsa01200 hsa01230
4178,TARDBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.954053425749137,2.755447869561912,0.0,1.033612437733368,0.0,0.0,0.0,0.0,0.0,23435,hsa03015 hsa05014 hsa05022
4182,TBL1XR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.701660055822148,2.699715440194004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79718,hsa04310
4183,TCERG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.822711683366217,2.7296993173079764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10915,hsa03040
4191,TGIF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.341161696820443,1.4411202522455036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60436,hsa04350
4195,THOC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0197604005339045,3.282340098169357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84321,hsa03013 hsa03040
4196,THOC7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0815166182481717,1.1974238731832796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80145,hsa03013
4197,THOP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2220500887244863,-2.6091399197929235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7064,hsa04614 hsa05143
4205,TKT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0597763978253587,2.0569605721173785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7086,hsa00030 hsa01100 hsa01200 hsa01230
