,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
Fc epsilon RI,0.0,0.0,0.0,9.61398361794348,0.0,0.0,0.0,0.0,8.434018990862729,-12.46159006025,0.0,0.0,6.204044263155079,13.55892587283226,0.0,20.876488253205878,13.154338544224137,0.0,33.48417610342045,50.92069964234541,0.0,0.0,0.0,0.0,36.74013421389655,7.673482427825595,0.0
GnRH,0.0,0.0,12.974812212059986,0.0,0.0,5.425911983448866,0.0,6.509195032392112,16.868037981725458,-25.58297921975,0.0,0.0,0.0,21.164861580312554,0.0,27.557715099441673,6.783779320466422,8.286895640508483,58.131500238572734,103.13938502309327,0.0,0.0,0.0,8.197920029831522,38.870156680607465,5.287800367379134,0.0
MAPK,0.0,0.0,58.24839113426584,18.232321290814888,35.760894926126554,21.395546727788926,-13.494700543999997,20.45081620403854,16.29733367424703,-60.55507064368485,9.027906248,24.511491250205147,12.908385978324509,93.68124099910466,0.0,79.93625384490007,43.490269854384195,14.021692061923186,181.82100370134688,171.85520826640578,8.739752529999997,46.234150439,5.264801663063691,21.81197466366317,147.20801338784662,45.67343479729172,20.23480426686493
ErbB,0.0,0.0,32.206160257502525,8.679736524730382,8.266152447,10.365508998959044,-4.909324042,6.509195032392112,16.662569589571525,-28.39829291156818,0.0,7.449087032772898,0.0,38.21384822274119,0.0,54.46643142319451,19.37300566961965,8.286895640508483,107.59153650141982,100.40812148665209,4.139942327999999,26.008956425999994,0.0,14.621412772080427,71.55092301119579,26.43044004571141,6.641596013279223
FoxO,0.0,0.0,18.274002551572448,0.0,17.18524638,0.0,0.0,14.828969362581992,8.434018990862729,-28.357095074318178,0.0,0.0,0.0,22.018011341043938,0.0,29.07904547385757,17.639416465708535,8.286895640508483,91.98739817869327,108.58260361279717,0.0,23.052085225,0.0,8.197920029831522,60.69373742725107,16.702833206058536,0.0
cAMP,0.0,0.0,11.755562331607123,0.0,0.0,5.425911983448866,0.0,0.0,8.434018990862729,-20.23879346531818,0.0,0.0,6.526667071970594,7.067899907668625,0.0,37.30435532415944,12.584068439102737,0.0,50.41053160215132,68.66677093837278,0.0,13.671524512999998,0.0,0.0,37.934231010274516,13.257768017587823,0.0
Jak-STAT,0.0,0.0,13.443873122709665,0.0,0.0,0.0,0.0,6.509195032392112,0.0,-10.397086027249998,0.0,0.0,0.0,15.100138399070712,0.0,21.02517324573366,6.783779320466422,8.286895640508483,39.43341456423464,16.0122242609184,4.139942327999999,4.266207610999999,0.0,14.621412772080427,31.775181647887948,5.287800367379134,0.0
Notch,0.0,7.564789189227733,6.319840261257783,0.0,0.0,0.0,0.0,6.950399231066351,0.0,-6.1760801682499995,7.831760453,0.0,6.677673440487985,13.37903437093398,0.0,30.769044825823627,5.917148705888341,8.229241525632675,38.380332717896145,23.82890199170609,0.0,0.0,0.0,8.548621360665026,19.418364855820904,7.262866732065287,0.0
Glucagon,-9.216823666805752,0.0,6.726419023811443,9.004597089992217,8.377875277804716,0.0,-4.631973800999999,0.0,7.863314683384303,-11.286955016000002,0.0,8.27192554876681,6.200193799746488,0.0,0.0,22.880979119116297,13.203142477088875,0.0,25.066179511648585,16.456583537059316,0.0,4.775168967999998,0.0,0.0,23.223029055763142,13.33371678372096,0.0
Wnt,-4.92116369,7.564789189227733,7.041437834810899,0.0,8.266152447,5.425911983448866,0.0,6.950399231066351,0.0,-15.570195265999999,7.831760453,0.0,0.0,26.773449862221295,0.0,0.0,5.411808718413008,8.229241525632675,31.886316678475154,15.818842709031575,4.139942327999999,17.808203837999997,0.0,14.972114102913931,16.053343809007437,5.66935365953076,0.0
TGF-beta,0.0,0.0,6.892026187679175,9.588663929457752,0.0,5.433938947403008,0.0,0.0,8.658218297549283,-14.471615468999998,0.0,0.0,5.651822337619561,23.312762341872805,0.0,24.59176966866313,0.0,0.0,25.498824352516017,28.51265577552285,8.212057578999998,4.266207610999999,0.0,6.423492742248905,7.418180655602573,12.843458798058847,0.0
Thyroid,0.0,0.0,30.495373767531287,9.004597089992217,23.819758103480247,0.0,-4.631973800999999,7.487945103682757,24.73135266510976,-41.75319847590151,18.437235792,15.767579715992921,12.726860871717083,103.17357140698516,0.0,46.12406186386539,29.8270490325512,0.0,108.78683598828331,132.86389748085358,12.351999906999996,30.591027093999998,0.0,12.84698548449781,85.25194708297892,37.641355201561296,6.731602248471124
