,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
TCR,0.0,0.0,-0.5611839480647379,-0.048138468726975636,0.014591900442935395,-0.06223529573301884,-0.05156171385706266,-0.001274659490521613,-0.09044223262833795,0.300661575438436,0.007108683602904206,-0.11108864586171129,-0.11360681586548323,-0.12462207346413244,0.0,-0.5133368889880657,-0.39707272187329384,0.018152362091524918,0.6958606027119971,0.7693502177764783,0.08572297809934605,0.321014116096514,0.0,0.024262028685838904,-0.4122241180747123,-0.3534086959172117,-0.010237034925556807
BCR,0.0,0.0,-0.3654084161302347,-0.05579686147899449,-0.008464249778225151,-0.052652276170255204,-0.0875220602573858,-0.0014774462276500513,-0.10483076963739171,0.44602480995969634,-0.03397609265372922,-0.12876183952152898,-0.13168062748044648,-0.06968309158288188,0.0,-0.44071306555713097,-0.2742848574326071,0.021040237878812974,0.7535540354231809,0.7429236606736769,0.02479239080998317,0.3312003052502099,0.0,0.02812189688585873,-0.5301564422103797,-0.44663921864583395,-0.03133209279491068
Chemokine,0.0,0.0,-0.3032752585459103,-0.04232865353578892,-0.1601893221223891,-0.06992779828131844,-0.08546010229277665,-0.016336233031259743,-0.03232561023765337,0.23904889525876447,-0.018683238915392756,-0.18676789071871652,-0.09989564843344215,-0.11907340624330037,0.0,-0.3902154740224646,-0.30946105322497613,0.01596155977013398,0.5629077837782389,0.5430689243820453,-0.023586090906979038,0.28706801104551327,0.0,0.08489407458656582,-0.6274352695686278,-0.26326309497074923,-0.1780932461804652
Neurotrophin,0.02361808246770384,0.0,-0.376029928486421,-0.06351223850450965,-0.06890767311887458,-0.04997081684408352,-0.004597724145748483,-0.0010001174464092655,-0.12455449331976218,0.3857420684660435,0.004983148076564587,-0.0799039282121321,-0.10871478786077436,-0.1091763631379014,0.0,-0.5520705516917478,-0.4281424560027724,0.02655381715637653,0.6926124688964227,0.6888657420228934,0.006594158018479866,0.3487305603477937,0.0,0.08499397895721961,-0.7435215388736653,-0.32435859963792535,-0.2698272145980778
Prolactin,0.0,0.0,-0.5475857245427338,-0.0876807823241342,-0.0525482545757762,-0.08273929112468674,-0.0825543830888806,-0.002321701214878652,-0.16473406657304412,0.3320605900696552,-0.0387009948961707,-0.20234003353383126,-0.2628301310810494,-0.06434900367490595,0.0,-0.7781713128116354,-0.5206284195559054,0.033063230952420385,0.9902007302673281,0.958078112053604,-0.048856902593028,0.4256395133256687,0.0,0.044191552249206574,-0.8208250010435341,-0.6754722669567311,-0.2195791319973524
Phospholipase D,0.0,0.0,-0.317245471791939,-0.03519633430496277,-0.09518891566833808,-0.04970211130345694,-0.1433214592762677,-0.00042840605705066204,-0.06145577851822096,0.21203392171967403,-0.022575580356099578,-0.11363418093021843,-0.21097565327273646,-0.02037936516259666,0.0,-0.45888926623489973,-0.35887961148495195,-0.000546469120387807,0.6419201044468027,0.6261230941428341,-0.02811927419359805,0.17256200052405898,0.0,0.0779643797105319,-0.6326941105680423,-0.3756936090543397,-0.2533829763395102
Ras,0.02046900480534333,0.0,-0.22968234057975412,-0.027184755870835305,-0.02722523119884904,-0.03250876936723877,-0.07727337814367585,0.010936911373151602,-0.050662786804945514,0.3405710214017004,-0.01444837142790373,-0.07713631993684757,-0.17150644162036824,-0.24906272405379146,0.0,-0.34707383243943823,-0.2998954224990194,-0.000944371800918186,0.6065491120428462,0.5611182489858716,-0.01495307705512647,0.054624666642390844,0.0,0.04339979448646231,-0.5688668058229382,-0.294751047005496,-0.1773348155374751
Fc epsilon RI,0.0,0.0,-0.3590251753176035,-0.07220770309046345,0.012102252907626558,-0.04426178571268046,-0.11848798493650481,0.024125539793716767,-0.13566334894250692,0.4564243660170932,0.07738513651987064,-0.09755015749532313,-0.2263445210352459,-0.059791252036260144,0.0,-0.49409415580242694,-0.3266264774883273,0.027228543137287377,0.7130008396029399,0.652444663458431,0.037168370085874106,0.24768504385147055,0.0,0.060313202322292744,-0.6149485943097863,-0.3532763719560663,-0.05213137030186715
GnRH,0.0,0.0,-0.25321355424877606,-0.05950484433089683,-0.0024869559819788133,-0.023514073659861495,-0.09164692735992264,0.012816693015412033,-0.035467690620644664,0.4161669195607505,0.05831232292233893,-0.12062068359167853,-0.22558037685254986,-0.07739759206239669,0.0,-0.49216618963564485,-0.2736334066298253,0.01446516354168392,0.5006830014741732,0.4843118157840524,-0.02104000935947466,0.5421175250194199,0.0,0.18296598302835798,-0.48566196489787583,-0.3226501530427993,0.06792034278630259
MAPK,0.0,0.0,-0.2640612397533086,-0.026637531170722126,-0.03208808103285048,-0.00863821587844133,-0.018400827919043503,-0.01757905644353864,-0.03886702771468348,0.29532356164927387,0.017099101600146147,-0.05899102076570247,-0.1110160248229641,-0.14647786345778555,0.0,-0.432319130214378,-0.19727272076347285,-0.00038543115210499043,0.6701773418923003,0.6145911803765698,0.008279476963243566,0.2652272428618293,-0.009019313982739918,0.06678956032185926,-0.37270035649640454,-0.24624625910131467,0.01567220487479261
ErbB,0.024367862863503963,0.0,-0.2429568532982711,-0.026816254708543066,-0.17315730425600592,-0.07273752757914191,-0.04196477665398822,-0.05700062913044691,-0.07522143166939015,0.36296908972185943,-0.029285716794887194,-0.14550815660060556,-0.15371252156782986,-0.22546802147334993,0.0,-0.5198280053814295,-0.32411884288260734,-0.07510813085694296,0.48300278263275204,0.61216206834505,-0.001400015845360714,0.28609042457683237,-0.036283886740364514,-0.031465189776943465,-0.5968981081182554,-0.311627289912952,-0.218276832100369
FoxO,0.0,0.0,-0.22324805985172336,-0.03128563049330024,-0.08461043537707619,-0.027868531745021033,-0.050839701539829515,0.007098127133588501,-0.08541766414898584,0.25810156168385767,0.07113067022704243,-0.11940677775135218,-0.1607378422459926,-0.09865190249568023,0.0,-0.5116902754044319,-0.23189401702145793,0.017143897530884647,0.37165752926681583,0.3386508854922862,-0.026197198382505317,0.11450684434271075,-0.021045065959726477,0.053163437504835924,-0.3801001280621534,-0.3455753837483845,0.010577971009557494
cAMP,0.0,0.0,-0.18961154126041235,-0.06357117543022285,-0.05942789027197485,-0.016112202277172197,-0.0882358993432353,0.043382268632443655,-0.09444290469080387,0.22289235032893892,-0.017912246583999595,-0.09954299554178213,-0.14096212251224716,-0.01790651223222258,0.0,-0.23716798950428766,-0.32732572911575003,0.0,0.3937193223253964,0.40197693905067333,-0.02335861551700254,0.2971149287277459,0.0,0.06106158619989429,-0.31585938263754737,-0.2352658004002795,0.09959875684242649
Jak-STAT,0.0,0.0,-0.14704396870164305,-0.016150924546227085,-0.18709097783259446,-0.04560305194639805,0.0,-0.027522928381828377,-0.07660510305712569,-0.11643637904801551,-0.0230718879086398,-0.13717238318739075,-0.08956731374766647,-0.1328387410849187,0.0,-0.3861820220897495,-0.2071434680976221,-0.03382167316098304,0.6488534038431852,0.6203994287587307,-0.16916720013315822,-0.08118952705214161,0.0,-0.007355501353829294,-0.44188169373537817,-0.31814179668047937,-0.288254125819159
Notch,-0.10271062473312233,0.0,0.11650844971046646,-0.016726426812257677,-0.21773791094786252,-0.030852707971163032,0.0,-0.24606874776943424,-0.09705785088427701,0.0784213511351644,-0.05010752467214071,0.0,0.0,-0.027367653616331426,0.03931862060044569,-0.4205015260209552,-0.09728170538350872,0.0,0.2083674022632071,0.2904694577172748,0.0018246453018496824,-0.08952401675209137,0.0,0.0,-0.34668131529839913,-0.18988956210447222,0.0
Glucagon,-0.08524090854567636,0.0,0.042979883335901435,0.0,-0.05245027235996268,0.016289436538145532,-0.022596923592603825,0.0,0.05824826532470937,0.6410265526041875,0.026685388376846465,0.0,0.0,-0.12416368538685041,0.0,-0.0854385742483542,-0.05062203511026453,0.0,0.2728609121578352,0.31310155216643343,-0.00977992703286292,0.2398762871109681,0.0,0.07216974966095974,-0.07043624629396965,-0.020265586912831566,0.0
Wnt,-0.04189853560345123,0.0,-0.1961514392613365,0.0,-0.09917830638097586,-0.029371332865981703,0.030355935725569435,-0.03111523123125394,0.04802927140809369,0.24589400100074746,-0.0945309991201598,-0.08311875262246815,-0.02646827220504372,-0.07869366570405954,0.0,-0.16863744184934268,-0.21662848634952975,-0.017825025250568515,0.5706278075959554,0.5477518006624026,-0.04891351454621494,-0.006726411504573791,0.0,0.0367088163848683,-0.13404463573837327,-0.10850935822185412,0.021999089875233465
TGF-beta,-0.045067040736686395,0.0,-0.40907967129634004,-0.039877363331473084,-0.10995181527211807,-0.04345342564727303,-0.10112764398336291,-0.09261376568252927,-0.07188225735034785,0.1705725875233614,-0.11016882797158369,-0.16139527420421937,-0.1997912968668843,-0.1864636615846124,0.0,-0.24148970176794438,-0.21854782012702362,-0.1597146023778404,0.46337277431540225,0.5527196007854669,-0.10991593108134268,0.15511981229167415,0.0,-0.031316852465968006,-0.43093061784342546,-0.24686849499739777,0.1679789517072842
Thyroid,-0.014228711973638912,0.0073407924056169025,-0.24332114566646898,-0.04321255734787052,-0.15667276761167856,-0.01851080894431382,0.006982789788887138,-0.11499084783048988,-0.018620402454738522,0.36012968644400933,-0.025032102079614635,-0.19423190310497157,-0.1485230490959478,-0.036439532843155396,0.0,-0.4293331366126429,-0.3102870196694141,-0.03933180501984811,0.3672856695630554,0.48124617020014976,0.03457318858552778,0.21982828611438734,0.0,0.06543447999166986,-0.4301540758652491,-0.26808155547002416,0.10517411631507897
