,afatinib_up,dasatinib_up,gefitinib_up,imatinib_up
API5,1.0,0.271399136312365,1.0,1.0
VAPB,1.0,1.0,0.499590931791758,1.0
CSTB,1.0,0.36153542254232,1.0,1.0
"PKIB, RANBP1",1.0,0.326374771612988,1.0,1.0
KIAA1107,0.19646996055028,1.0,1.0,1.0
TAF3,0.2059894710216928,0.4079531756104555,0.148439344464478,1.0
LRSAM1,0.1243545684294032,1.0,0.1343830460366639,1.0
SHANK2,0.2120525686697685,1.0,0.150977240423119,1.0
EPB41L2,1.0,0.439364067631985,1.0,1.0
TACC1,1.0,0.4758005225057299,1.0,1.0
ZNF638,0.4062568185752475,1.0,0.4035907548106818,1.0
MRGBP,1.0,0.59053139291519,1.0,1.0
PTRF,1.0,0.592208127322847,1.0,1.0
TNIP1,1.0,0.399670306765761,1.0,1.0
CFL2,1.0,0.2194269579379975,1.0,1.0
RPS6,0.4646847201793756,0.5303198598234427,1.0,1.0
UBL7,0.196373553164708,1.0,1.0,1.0
TNRC6B,0.4373292401714167,1.0,0.4327726930204035,1.0
DOK1,1.0,0.1078302640219299,1.0,1.0
TNK2,1.0,0.4084292070976766,1.0,1.0
AP1AR,1.0,0.484982279690643,1.0,1.0
RAB11FIP5,0.3080540491603783,0.465853020432803,0.336701459469247,1.0
"DDX19A, DDX19B",1.0,1.0,0.296829119823936,1.0
DYNC1LI2,0.368623348689663,1.0,1.0,1.0
CT45A5,1.0,0.375985448453296,1.0,1.0
PAK2,0.146004549773584,0.469126224723546,1.0,1.0
"VAMP1, VAMP2, VAMP3",0.2469767748516128,0.401276293919109,0.2361752293263629,1.0
ZNRF2,1.0,0.370675407649813,0.493966359278,1.0
PTPN11,1.0,0.1139971260388202,1.0,0.136926162857181
TSC22D4,0.4015984689210494,0.502320781758568,0.353939301830015,1.0
SEPT7,1.0,0.246120319799982,1.0,1.0
BRWD1,0.1418106028505386,0.2494053892176985,0.1433788732261544,1.0
